Join Year,Organization,Title,Address,City,State,ZipPostal,CountryOverride,Locale,Phone,URL,Latitude,Longitude,PartnerTypes,NewUntil,Created,Updated
2018,Seafood Watch,Red Lobster,14368 Baltimore Ave,Laurel,Maryland,20707-4952,United States,null,3014900191,https://www.redlobster.com/,39.0857803,-76.8618891,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,615 Belair Road,Bel Air,Maryland,21014-4325,United States,null,4108932925,https://www.redlobster.com/,39.5237121,-76.353495,Restaurant Partner,11/15/18 0:00,6/19/18 21:55,6/19/18 21:55
2018,Seafood Watch,Red Lobster,8533 Georgia Ave,Silver Spring,Maryland,20910,United States,null,3015883299,https://www.redlobster.com/,38.9961415,-77.027191,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,8019 Honeygo Blvd,Nottingham,Maryland,21236-6998,United States,null,4109316372,https://www.redlobster.com/,39.3712868,-76.4689158,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,183 Jennifer Road,Annapolis,Maryland,21401-7914,United States,null,4102665010,https://www.redlobster.com/,38.9851984,-76.5443525,Restaurant Partner,11/15/18 0:00,6/19/18 21:55,6/19/18 21:55
2018,Seafood Watch,Red Lobster,11035 Mall Circle,Waldorf,Maryland,20603-4863,United States,null,3017057440,https://www.redlobster.com/,38.616071,-76.922422,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,2314 N Salisbury Blvd,Salisbury,Maryland,21801-2145,United States,null,4105466454,https://www.redlobster.com/,38.398508,-75.5700172,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,3 Restaurant Park Drive,Owings Mills,Maryland,21117-3578,United States,null,4109028420,https://www.redlobster.com/,39.4047366,-76.792753,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,15700 Shady Grove Rd,Gaithersburg,Maryland,20877-1401,United States,null,(301) 840-0380,https://www.redlobster.com/,39.1135158,-77.187382,Restaurant Partner,11/15/18 0:00,6/19/18 21:55,6/19/18 21:55
2018,Seafood Watch,Red Lobster,9011 Snowden Square Drive,Columbia,Maryland,21046-1676,United States,null,4102901677,https://www.redlobster.com/,39.1835558,-76.8192063,Restaurant Partner,11/15/18 0:00,6/19/18 21:55,6/19/18 21:55
2018,Seafood Watch,Red Lobster,1020 W Patrick Street,Frederick,Maryland,21703-3963,United States,null,3018469474,https://www.redlobster.com/,39.4159722,-77.4398084,Restaurant Partner,11/15/18 0:00,6/19/18 21:55,6/19/18 21:55
2018,Seafood Watch,Red Lobster,1681 Wesel Blvd.,Hagerstown,Maryland,21740-2500,United States,null,3017916051,https://www.redlobster.com/,39.6302213,-77.7623292,Restaurant Partner,11/15/18 0:00,6/19/18 21:55,6/19/18 21:56
2018,Seafood Watch,Red Lobster,4220 24th Avenue,Fort Gratiot,Michigan,48059-3880,United States,null,8103858773,https://www.redlobster.com/,43.0321054,-82.4555159,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,3920 28th Street. S.E.,Kentwood,Michigan,49512-1806,United States,null,(616) 949-9190,https://www.redlobster.com/,42.9120562,-85.5708602,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,4141 Bay Road,Saginaw,Michigan,48603-1203,United States,null,(989) 793-5250,https://www.redlobster.com/,43.4674634,-83.9763691,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,2565 Capitol Ave. S.W.,Battle Creek,Michigan,49015-4193,United States,null,2699681448,https://www.redlobster.com/,42.2645415,-85.1981882,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,2420 Carpenter Road,Ann Arbor,Michigan,48108-1104,United States,null,7349714412,https://www.redlobster.com/,42.2514517,-83.6814634,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,4062 E. Bluegrass Road,Mount Pleasant,Michigan,48858-7964,United States,null,9897725622,https://www.redlobster.com/,43.57489,-84.7661951,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,3130 East Saginaw Street,Lansing,Michigan,48912-4712,United States,null,(517) 351-0610,https://www.redlobster.com/,42.7403145,-84.5070616,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,13999 Eureka Road,Southgate,Michigan,48195-2059,United States,null,7342850011,https://www.redlobster.com/,42.1988452,-83.1942887,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,13800 Hall Road,Sterling Heights,Michigan,48313-1222,United States,null,5862476250,https://www.redlobster.com/,42.6262735,-82.9898859,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,25901 Hoover Road,Warren,Michigan,48089-1149,United States,null,(586) 759-0010,https://www.redlobster.com/,42.484877,-83.0070557,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,1553 N. Dixie Hghway,Monroe,Michigan,48162-5206,United States,null,7342896242,https://www.redlobster.com/,41.9286,-83.353704,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:57
2018,Seafood Watch,Red Lobster,2691 North U.S. 31 South,Traverse City,Michigan,49684-4524,United States,null,2319338741,https://www.redlobster.com/,44.727435,-85.646892,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,5774 North Wayne Road,Westland,Michigan,48185-3126,United States,null,(734) 326-7655,https://www.redlobster.com/,42.3258762,-83.3879948,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,27760 Novi Road,Novi,Michigan,48377-3422,United States,null,2483498470,https://www.redlobster.com/,42.4905624,-83.4752741,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,29980 Plymouth Road,Livonia,Michigan,48150-2115,United States,null,7344270537,https://www.redlobster.com/,42.3696591,-83.3381091,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,3464 River Towne Point Circle,Grandville,Michigan,49418-3076,United States,null,6164061190,https://www.redlobster.com/,42.883025,-85.749646,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,1420 S. Main St,Adrian,Michigan,49221-4309,United States,null,5172633811,https://www.redlobster.com/,41.8761128,-84.043753,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,2825 S Rochester Road,Rochester Hills,Michigan,48307-4550,United States,null,2482998090,https://www.redlobster.com/,42.6391393,-83.1310993,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,6535 S Westnedge Avenue,Portage,Michigan,49002-3544,United States,null,(269) 323-1329,https://www.redlobster.com/,42.221645,-85.588899,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,2400 Shirley Drive,Jackson,Michigan,49202-1524,United States,null,(517) 787-7820,https://www.redlobster.com/,42.276992,-84.4297805,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,1681 Sternberg Road,Muskegon,Michigan,49444-8782,United States,null,2317989586,https://www.redlobster.com/,43.1534062,-86.2037383,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,6850 Telegraph Road,Dearborn Heights,Michigan,48127-2206,United States,null,(313) 562-4605,https://www.redlobster.com/,42.3382082,-83.2722172,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/27/18 17:06
2018,Seafood Watch,Red Lobster,479 Telegraph Road,Waterford,Michigan,48328-3332,United States,null,2486825146,https://www.redlobster.com/,42.647489,-83.326916,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/27/18 17:06
2018,Seafood Watch,Red Lobster,2923 U.S. 41 West,Marquette,Michigan,49855-2250,United States,null,9062282211,https://www.redlobster.com/,46.5640545,-87.4214612,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,4417 West Pierson Road,Flint,Michigan,48504-1359,United States,null,(810) 732-4910,https://www.redlobster.com/,43.0600129,-83.7689591,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,101 W.12 Mile Road,Madison Heights,Michigan,48071-2482,United States,null,(248) 542-1140,https://www.redlobster.com/,42.504263,-83.107487,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,4109 Wilder Road,Bay City,Michigan,48706-2240,United States,null,9896679333,https://www.redlobster.com/,43.624287,-83.8926033,Restaurant Partner,11/15/18 0:00,6/19/18 21:56,6/19/18 21:56
2018,Seafood Watch,Red Lobster,8350 3rd St N,Oakdale,Minnesota,55128-5439,United States,null,6512640151,https://www.redlobster.com/,44.9509827,-92.9354274,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,1951 American Blvd West,Bloomington,Minnesota,55431-1301,United States,null,9528888102,https://www.redlobster.com/,44.8580709,-93.3043125,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,1301 County Road 42 West,Burnsville,Minnesota,55306-4432,United States,null,9524352552,https://www.redlobster.com/,44.7459617,-93.297431,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,1890 E Madison Ave,Mankato,Minnesota,56001-5449,United States,null,5072087207,https://www.redlobster.com/,44.1672762,-93.9501465,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,12515 Elm Creek Blvd. N,Maple Grove,Minnesota,55369-7031,United States,null,7634944646,https://www.redlobster.com/,45.0937847,-93.4393493,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,8900 Golden Valley Road,Golden Valley,Minnesota,55427-4313,United States,null,(763) 546-7300,https://www.redlobster.com/,44.9852158,-93.3935603,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,1280 Highway 14 Sw,Rochester,Minnesota,55902,United States,null,5072880688,https://www.redlobster.com/,44.004996,-92.4813198,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,8500 Hwy. 47,Minneapolis,Minnesota,55433-5853,United States,null,(763) 786-7667,https://www.redlobster.com/,45.1250458,-93.2656459,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,2330 Prior Avenue,Roseville,Minnesota,55113-2715,United States,null,(651) 636-9800,https://www.redlobster.com/,45.0111425,-93.1815035,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,301 S Lake Avenue,Duluth,Minnesota,55802-2305,United States,null,2187227390,https://www.redlobster.com/,46.7839253,-92.0966457,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,2920 W. Division Street,Saint Cloud,Minnesota,56301-3818,United States,null,3202536682,https://www.redlobster.com/,45.5527383,-94.1939836,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,2925 White Bear Ave.,Maplewood,Minnesota,55109-1314,United States,null,6517708825,https://www.redlobster.com/,45.0286422,-93.0188571,Restaurant Partner,11/15/18 0:00,6/19/18 21:57,6/19/18 21:57
2018,Seafood Watch,Red Lobster,6535 Airways Blvd,Southaven,Mississippi,38671,United States,null,6625361960,https://www.redlobster.com/,34.9560026,-89.9907696,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,895 Barnes Crossing Road,Tupelo,Mississippi,38804-0911,United States,null,6628445422,https://www.redlobster.com/,34.3150143,-88.7038593,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,4670 Hardy Street,Hattiesburg,Mississippi,39402-1320,United States,null,6012689136,https://www.redlobster.com/,31.3232257,-89.3608149,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,6357 I 55 N,Jackson,Mississippi,39213-9742,United States,null,6019778884,https://www.redlobster.com/,32.3975283,-90.146939,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,3897 Promenade Parkway,D'iberville,Mississippi,39540,United States,null,2283921391,https://www.redlobster.com/,30.45486,-88.9018,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,201 S. Frontage Road,Meridian,Mississippi,39301-6105,United States,null,6014839194,https://www.redlobster.com/,32.364216,-88.674691,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,17204 Chesterfield Airport Rd,Chesterfield,Missouri,63005-1416,United States,null,6365360899,https://www.redlobster.com/,38.667815,-90.5956642,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,3519 Country Club Drive,Jefferson City,Missouri,65109-1032,United States,null,5736356737,https://www.redlobster.com/,38.583503,-92.250113,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,4101 Frederick Ave.,Saint Joseph,Missouri,64506-3158,United States,null,8162325011,https://www.redlobster.com/,39.7775476,-94.7950125,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,1110 Interstate 70 Dr Sw,Columbia,Missouri,65203-2052,United States,null,5734458324,https://www.redlobster.com/,38.9641246,-92.3549516,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,2381 Maplewood Commons Drive,Maplewood,Missouri,63143-1022,United States,null,3146475257,https://www.redlobster.com/,38.6178905,-90.3331102,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,4328 Noland Rd,Independence,Missouri,64055-4741,United States,null,(816) 373-0769,https://www.redlobster.com/,39.0413261,-94.4160387,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,450 Nw Barry Road,Kansas City,Missouri,64155-2725,United States,null,8164686116,https://www.redlobster.com/,39.2468995,-94.5852559,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,670 Nw Blue Parkway,Lee's Summit,Missouri,64063,United States,null,8163470638,https://www.redlobster.com/,38.9265785,-94.4022161,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,3131 Range Line Rd.,Joplin,Missouri,64801-9760,United States,null,4177822199,https://www.redlobster.com/,37.0846396,-94.4760122,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,2141 S. Glenstone Ave,Springfield,Missouri,65804-2499,United States,null,(417) 883-2245,https://www.redlobster.com/,37.1750922,-93.263156,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,5733 S. Lindbergh Blvd.,Saint Louis,Missouri,63123-6936,United States,null,(314) 487-7744,https://www.redlobster.com/,38.5221595,-90.3499053,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,12235 Saint Charles Rock Rd,Bridgeton,Missouri,63044-2502,United States,null,(314) 291-8680,https://www.redlobster.com/,38.7519964,-90.4264374,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,3559 Shepherd Of The Hills Expressway,Branson,Missouri,65616-8107,United States,null,4173375988,https://www.redlobster.com/,36.6521429,-93.2881131,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,4101 Veterans Memorial Pkwy,Saint Peters,Missouri,63376-6422,United States,null,(636) 928-1161,https://www.redlobster.com/,38.7949991,-90.572369,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,9838 Watson Road,Saint Louis,Missouri,63126-1825,United States,null,(314) 822-0433,https://www.redlobster.com/,38.5561271,-90.390538,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,3269 William Street,Cape Girardeau,Missouri,63703-4961,United States,null,5733390445,https://www.redlobster.com/,37.3020957,-89.5780188,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,2250 King Ave W,Billings,Montana,59102-7415,United States,null,4066550929,https://www.redlobster.com/,45.7545912,-108.5722621,Restaurant Partner,11/15/18 0:00,6/19/18 21:58,6/19/18 21:58
2018,Seafood Watch,Red Lobster,6540 O Street,Lincoln,Nebraska,68510-2397,United States,null,4024668397,https://www.redlobster.com/,40.8140679,-96.6311697,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,2707 S 140th Street,Omaha,Nebraska,68144-3361,United States,null,4023300162,https://www.redlobster.com/,41.2333861,-96.1332125,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,330 S. 72nd Street,Omaha,Nebraska,68114-4606,United States,null,(402) 391-5970,https://www.redlobster.com/,41.2562752,-96.0245311,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,121 Second Ave. East,Kearney,Nebraska,68847-7857,United States,null,3082375805,https://www.redlobster.com/,40.6743533,-99.084627,Restaurant Partner,11/15/18 0:00,6/19/18 21:59,6/19/18 22:00
2018,Seafood Watch,Red Lobster,3430 W. 13th Street,Grand Island,Nebraska,68803-2389,United States,null,3083828879,https://www.redlobster.com/,40.9318819,-98.3827489,Restaurant Partner,11/15/18 0:00,6/19/18 21:59,6/19/18 21:59
2018,Seafood Watch,Red Lobster,2325 E Flamingo Road,Las Vegas,Nevada,89119-5117,United States,null,7028929055,https://www.redlobster.com/,36.1142984,-115.1204987,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,5015 Kietzke Ln,Reno,Nevada,89511-2046,United States,null,7758271203,https://www.redlobster.com/,39.4762426,-119.7956237,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,570 Marks Street,Henderson,Nevada,89014-6654,United States,null,7029335307,https://www.redlobster.com/,36.0623072,-115.0359414,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,200 S. Decatur Blvd.,Las Vegas,Nevada,89107-2930,United States,null,7028770212,https://www.redlobster.com/,36.1716922,-115.2066548,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,1500 Almonesson Road,Woodbury,New Jersey,08096-5259,United States,null,8562323849,https://www.redlobster.com/,39.8252337,-75.1021313,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,4411 Black Horse Pike,Mays Landing,New Jersey,08330-3102,United States,null,6096460946,https://www.redlobster.com/,39.4520149,-74.6439766,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,3255 Brunswick Pike,Lawrenceville,New Jersey,08648-2409,United States,null,6098961011,https://www.redlobster.com/,40.290688,-74.6882993,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,7000 Hadley Rd.,South Plainfield,New Jersey,07080-1127,United States,null,9085616015,https://www.redlobster.com/,40.5545529,-74.4319532,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,1298 Hooper Ave,Toms River,New Jersey,08753-3341,United States,null,7329140183,https://www.redlobster.com/,39.9870043,-74.1793179,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,750 Highway 18 North,East Brunswick,New Jersey,08816-4907,United States,null,(732) 238-4810,https://www.redlobster.com/,40.4258542,-74.3800525,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,2200 Highway 35,Oakhurst,New Jersey,07755-7204,United States,null,7324932404,https://www.redlobster.com/,40.2716378,-74.043461,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,520 Highway 46,Wayne,New Jersey,07470-4822,United States,null,9737853114,https://www.redlobster.com/,40.8951099,-74.2422051,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,700 Plaza Drive,Secaucus,New Jersey,07094-3604,United States,null,2015831902,https://www.redlobster.com/,40.7861308,-74.04571,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,303 Route 10 - Roxbury Township (Ledgewood Mall),Ledgewood,New Jersey,7852,United States,null,9739273713,https://www.redlobster.com/,40.873309,-74.649224,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,3003 Route 130 South,Delran,New Jersey,08075-2412,United States,null,8564616202,https://www.redlobster.com/,40.0109956,-74.9644145,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,211 Route 17 S,Paramus,New Jersey,07652-2903,United States,null,2019677838,https://www.redlobster.com/,40.9357749,-74.0717784,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,2100 Route 38,Cherry Hill,New Jersey,08002-2043,United States,null,8563211701,https://www.redlobster.com/,39.9416067,-75.0192709,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,3849 South Delsea Drive,Vineland,New Jersey,08360-7413,United States,null,8568259600,https://www.redlobster.com/,39.4315385,-75.0371469,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,635 U.S. Hwy 1,Iselin,New Jersey,08830-3102,United States,null,7326366230,https://www.redlobster.com/,40.5648405,-74.2988353,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,2520 Us Highway Route 22,Union,New Jersey,07083-8509,United States,null,9086868999,https://www.redlobster.com/,40.6921943,-74.2801072,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,1271 U.S. Route 22,Bridgewater,New Jersey,08807-2975,United States,null,9087224447,https://www.redlobster.com/,40.5788429,-74.5826799,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,10520 Coors Bypass Nw,Albuquerque,New Mexico,87114-4958,United States,null,5059220266,https://www.redlobster.com/,35.2084828,-106.6575459,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:01
2018,Seafood Watch,Red Lobster,3451 E Main Street,Farmington,New Mexico,87402-5326,United States,null,5053255222,https://www.redlobster.com/,36.7488297,-108.1597755,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,5555 Montgomery Blvd. Ne,Albuquerque,New Mexico,87109-1401,United States,null,5058844445,https://www.redlobster.com/,35.1319238,-106.5791244,Restaurant Partner,11/15/18 0:00,6/19/18 22:00,6/19/18 22:00
2018,Seafood Watch,Red Lobster,2625 N. Main,Roswell,New Mexico,88201-6553,United States,null,5756224818,https://www.redlobster.com/,33.4265463,-104.5225392,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,2601 North Prince,Clovis,New Mexico,88101-4475,United States,null,5757620355,https://www.redlobster.com/,34.424556,-103.1960927,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,4450 Rodeo Road,Santa Fe,New Mexico,87507-4838,United States,null,5054731610,https://www.redlobster.com/,35.6379197,-106.0157574,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,575 S Telshor Blvd,Las Cruces,New Mexico,88011-4685,United States,null,5755224067,https://www.redlobster.com/,32.3143984,-106.7425382,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,2090 Bartow Avenue,Bronx,New York,10475-4615,United States,null,7186714223,https://www.redlobster.com/,40.869059,-73.826987,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,999 Central Park Ave,Scarsdale,New York,10583-3211,United States,null,9144726373,https://www.redlobster.com/,40.9902231,-73.823205,Restaurant Partner,11/15/18 0:00,6/19/18 22:02,6/19/18 22:02
2018,Seafood Watch,Red Lobster,3328 Chambers Road S.,Horseheads,New York,14845-1400,United States,null,6077965434,https://www.redlobster.com/,42.1610338,-76.8779368,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,4573 Commercial Dr,New Hartford,New York,13413-6208,United States,null,3157686156,https://www.redlobster.com/,43.0861508,-75.3167902,Restaurant Partner,11/15/18 0:00,6/19/18 22:02,6/19/18 22:02
2018,Seafood Watch,Red Lobster,295 E Fairmount Avenue,Lakewood,New York,14750-2008,United States,null,7167636992,https://www.redlobster.com/,42.099023,-79.3053146,Restaurant Partner,11/15/18 0:00,6/19/18 22:01,6/19/18 22:01
2018,Seafood Watch,Red Lobster,2965 Erie Blvd. E,Syracuse,New York,13224-1455,United States,null,3154451988,https://www.redlobster.com/,43.0560065,-76.0872884,Restaurant Partner,11/15/18 0:00,6/19/18 22:02,6/19/18 22:02
2018,Seafood Watch,Red Lobster,5010 Expressway Drive South,Ronkonkoma,New York,11779-5551,United States,null,6315802864,https://www.redlobster.com/,40.8130024,-73.1240638,Restaurant Partner,11/15/18 0:00,6/19/18 22:02,6/19/18 22:02
